"","EOF1","EOF2","EOF3","EOF4","EOF5","EOF6","EOF7","EOF8","EOF9","EOF10","EOF11","EOF12","EOF13","EOF14","EOF15","EOF16","EOF17","EOF18","EOF19"
"CHL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIATO",NA,189.386526058373,NA,214.12269882493,57.2477006829073,NA,NA,NA,NA,NA,2.40892801133748,8.76227320887665,2.80127126337686,29.5113702915318,NA,NA,0.805996937956479,NA,NA
"DINO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HAPTO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GREEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PROKAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
