"","EOF1","EOF2","EOF3","EOF4","EOF5","EOF6","EOF7","EOF8","EOF9","EOF10","EOF11","EOF12","EOF13","EOF14","EOF15","EOF16","EOF17"
"D",8.35579297008006,1.11019780251656,0.61904203737689,0.361257078224087,0.302532642954472,0.261570408841322,0.192221215935577,0.19015345221238,0.186394142557732,0.152305972385388,0.137402824889274,0.127184193093615,0.118566466414982,0.106969215229274,0.099822185085265,0.0932670018144462,0.0905789447522814
"expl_var",0.970467639400298,0.0171319359863306,0.00532654989705959,0.00181400486086139,0.00127218479053164,0.000951005302946526,0.000513580299869709,0.000502590349248007,0.000482914490589136,0.000322433073905865,0.000262420065373791,0.000224839180776641,0.000195402209502957,0.000159046214034894,0.000138503216966588,0.0001209098683579,0.000114040793347124
