"","EOF1","EOF2","EOF3","EOF4","EOF5","EOF6","EOF7","EOF8","EOF9","EOF10","EOF11","EOF12","EOF13","EOF14","EOF15","EOF16","EOF17","EOF18","EOF19"
"399.4",-0.0938388807545427,-0.46280496680873,0.2194758436178,0.488812807205764,-0.498745319542843,-0.175345755121905,0.256980852327704,-0.141764687270289,0.183849792298724,-0.0237324475731742,0.0669648215206421,-0.0132983012007108,0.153122582694264,-0.0371292984413861,0.0874086043499045,-0.063146186683006,-0.00303147695234559,-0.131752337190189,0.0591736136986276
"403.5",-0.10624427763322,-0.411640991081905,0.10888777498135,0.0829444010865639,0.0345787296040774,0.532107184454288,-0.609902669082335,-0.14401283887304,0.0870201779890889,0.18386921464034,-0.0147253975530833,-0.0319778081429788,-9.00371138492779e-05,0.0449846696926741,-0.036390288776877,-0.0119247232185326,0.0466002762300787,0.202869573837016,-0.0587585759730215
"406.9",-0.115128302008409,-0.365196869739052,-0.0557017484169108,-0.0169998865541294,0.0135563300002143,-0.47291988937628,-0.226330304321051,0.490476858469562,-0.435276208628285,0.148731915407647,-0.227260725218787,-0.0659447122734488,-0.0324795711756336,-0.0281893880850543,-0.133877954310021,-0.0951264972230883,-0.0768324029972413,0.0738963861368115,-0.00829409002636146
"410.1",-0.132616243343913,-0.288610854539154,-0.0326592038001167,-0.038187009687774,0.180795606731868,0.536426206854838,0.532560329390263,0.396073129124301,-0.160772458217873,-0.223350555009725,-0.00189341928245429,0.102127375538678,0.0725273100984537,-0.0025460532249042,-0.0353938729437565,-0.000656764216722016,-0.0364648647701105,0.0683012565466732,0.0358076646406792
"413.4",-0.139708481715814,-0.252896424683157,-0.119130749154863,-0.217265726548758,0.152975351250781,-0.234142532755001,-0.141096579286321,0.231904593341935,0.609050423865112,-0.332586656559033,0.198660138879725,0.180151202644392,-0.256191498373215,0.0298223696577256,0.0230667494473385,0.137768319772859,0.0323803955401595,-0.0888537887964944,-0.0666238226933363
"417.1",-0.156668814161567,-0.182362787408079,-0.14297068960095,-0.0796124016099967,0.0562433526819157,-0.115837356740358,0.126347521363218,-0.420674803293298,-0.373466940562946,0.119585758733302,0.226595135964818,0.494291269997957,-0.306581694713617,-0.0703107557326547,0.172763743451581,0.22025516928164,-0.029580284197611,0.129377783716037,-0.0790314095767059
"421.5",-0.17366074000382,-0.129459959498434,-0.086941986350871,-0.0770319805403692,0.0597115016925858,-0.0225785262677775,-0.0234946251293096,-0.327240869877866,-0.230732513638187,-0.480944276584341,-0.281518240251173,-0.464134267152106,-0.0300059247072784,0.0870897321808906,0.0129224741969137,0.240911544328991,0.245567696476816,-0.169641034221838,-0.0632822578711939
"425.4",-0.1860392518876,-0.0838122533615162,-0.159335213746971,-0.100413075580491,0.150808240359245,0.0121607315323565,0.293388648088896,-0.0366411828141077,0.196357642343901,0.662798832869859,0.00461711492140693,-0.370581952147016,-0.158688956968949,0.187777855197647,-0.069254193005426,0.102017918643372,0.0901121771427441,-0.206293078717267,-0.0491555448491663
"429.5",-0.197591956826815,-0.0214203071893134,-0.140794573320504,-0.07910834491242,0.0694479546778027,0.059900139028656,-0.040244174599973,-0.254205756165438,-0.0433360543619952,-0.108190933206093,0.0417747643769039,0.051292543138456,-0.141889703323413,-0.00968549521384592,-0.305693093052812,-0.538367837253004,-0.395301036633797,-0.377856459732759,0.175380886205607
"433.8",-0.204666816438345,0.0130613562933204,-0.166475734018613,-0.0858801215768295,0.1471688361401,-0.0537889139850222,-0.151624735967801,0.00779838043193726,-0.0293051670353165,0.0690149401621904,0.0578035763093905,0.201372633077707,0.608952560399506,-0.0963627414673846,0.264021429215131,0.111096663018403,0.189437404876554,-0.287189234828816,0.208363618514148
"437.3",-0.209102037194105,0.0420216292649935,-0.192520091766455,-0.0047656907451661,0.042341970105976,-0.142513181054074,0.124193987392992,-0.150346634927151,0.149293907044131,0.0109812273460474,-0.0941691414214889,0.0503205684218304,0.0587648208860656,0.105020752902383,-0.0824680395983542,-0.33058495225529,0.429710863755598,0.483245010321677,0.260463931294831
"441.4",-0.21142108699985,0.101487021988487,-0.150077052755002,0.0623595348001246,0.115586189913451,-0.00408989651165256,-0.0124116829682571,-0.0424298094521413,0.112298869029469,0.0798581455166518,-0.181489912951999,0.140633256451366,0.393094296448799,-0.113289327956941,-0.12480442868948,-0.0212694608590036,-0.152768397569303,-0.0655797128520708,-0.336065201629907
"445.8",-0.206943313608396,0.137783255146109,-0.0903228686489902,0.116957579266226,0.0305023380722435,0.0152161780832324,0.0287233567873554,0.0890159574594947,0.101451978069708,-0.0456071417923869,-0.227653076437215,-0.10083103240053,-0.185854969646309,-0.024078422414578,0.428861055982593,-0.175096380770941,-0.0973199936260475,0.0697865985318321,-0.139013254887786
"450.6",-0.201209019617804,0.135038916001333,-0.0695548386773222,0.167584884805054,0.021824148114524,-0.0715524014254938,0.0510701718527442,-0.0821824539701646,0.118817212888255,-0.0275683182893607,-0.0292458768105143,-0.10705434711801,0.0765767050136518,-0.211888471304522,-0.270124114882901,0.328945308982862,-0.339870186397536,0.301416434230048,-0.117776444675798
"455.2",-0.193280178918349,0.1473131415702,-0.0037287855485373,0.10732790487352,0.0217839507292285,0.0259577491951614,-0.0447678599468741,0.00124285584092305,-0.0285489132471029,-0.0516575520225907,-0.021058512435673,-0.116638489910702,-0.0975923278341968,-0.154805513449915,0.356599367230667,-0.0734871451369988,-0.160326764687832,0.087712971301976,-0.108143576700552
"459.4",-0.185552515966885,0.134331737698986,0.0420879815075355,0.127167478213267,-0.0374638151056927,-0.0106606489881013,-0.0322161690795358,0.113546044190413,0.00668776209254061,-0.00738402398367746,0.162990342453957,-0.0665473451915711,0.000367024982543984,0.0299423955730648,-0.0147763119306275,0.0505034279045561,-0.164680403879569,0.147753553106745,0.00511866939053371
