"","EOF1","EOF2","EOF3","EOF4","EOF5","EOF6","EOF7","EOF8","EOF9","EOF10","EOF11","EOF12","EOF13","EOF14","EOF15","EOF16","EOF17","EOF18","EOF19"
"399.4",-0.0939660874309873,-0.461028038464168,0.217206376422549,0.477425389214428,-0.515388970251512,-0.16917507051017,-0.225057500432047,0.195989511419572,-0.174740072161528,0.0426983908630536,-0.071380618582152,0.0132103721824356,-0.15541394791761,0.00516285358862893,-0.082279032657553,-0.0520869390414261,0.0351008949634237,0.140620415095895,-0.0200141646433017
"403.5",-0.10597242400792,-0.411953111636658,0.118373082963276,0.0832183233941512,0.0539518577602639,0.551681825191783,0.621090808360267,0.0876947470472814,-0.04872670803422,-0.135575190595087,-0.00558566318760623,0.0542926736019359,0.0104534071977724,0.0456660373414762,0.0273870866964269,-0.0188532224747293,-0.0659599100503002,-0.187736387560693,-0.0204285608619751
"406.9",-0.11580817748476,-0.364700558455061,-0.0543407922239696,-0.0191270004263775,-0.0033896005004494,-0.478335973334217,0.168311473016639,-0.537386164224162,0.353561116965363,-0.233476203912636,0.231141083963176,0.0707285746569572,0.0219092801465532,-0.0391597671995484,0.126481829632392,-0.0964071761079343,0.0629030492148707,-0.0938900614215058,-0.00452138594333557
"410.1",-0.133162806746253,-0.289181302951537,-0.0319412629541256,-0.0380075038518439,0.175969150861625,0.508480436422985,-0.604239343978659,-0.375142874866635,0.102760114915937,0.156077236240954,0.0249542513230268,-0.124484552464364,-0.0752804814462472,0.0144825751112867,0.0329064129844735,0.00015831022670043,0.0229809873516037,-0.0712053336193375,-0.0422878307837973
"413.4",-0.14024768759718,-0.253575848982707,-0.11512671033293,-0.213272178232535,0.154911013877511,-0.235099923585056,0.140580200762564,-0.193820757203806,-0.597839701060891,0.368611217822853,-0.173140792725822,-0.217621609207462,0.257623183005033,-0.032524707753033,-0.0169965213124316,0.130800635957648,-0.0404933769668219,0.0714149244167959,0.0896032652376854
"417.1",-0.156983734545318,-0.182710606834575,-0.13602771382309,-0.0785901890312751,0.0664582106696121,-0.108768289029472,-0.0838212497731271,0.411490756163304,0.398486778116177,-0.158579616343405,-0.177960529348653,-0.525377306502806,0.273102674405057,-0.114531891909197,-0.15582260543769,0.222722485450995,0.00373392827623204,-0.122616163693554,0.038640021051784
"421.5",-0.174296438791229,-0.13108920597626,-0.089480036122337,-0.0751654867401305,0.0550625264927532,-0.0279867699506277,0.0185057427385804,0.238854103056211,0.31828024636155,0.50027789650461,0.265843138691728,0.461913594427427,0.055829828885181,0.0283600051264002,-0.0231539762268316,0.220998668760078,-0.258192708929464,0.156735417187492,0.0955661846859628
"425.4",-0.186275782717106,-0.0848730001467418,-0.152852240162784,-0.0959878048219848,0.163232351501999,0.0120404824959918,-0.252753691334231,0.136291013519061,-0.248076707222909,-0.612410951841681,-0.0614282856469535,0.423768678874114,0.21335594096643,0.123406100850551,0.0684407634539927,0.0828277024664847,-0.0901294338826343,0.189369583498694,0.110663095630228
"429.5",-0.198072992703293,-0.0222763005420413,-0.140408800457936,-0.0779843855452386,0.0718920954605254,0.056106082351462,0.0479169127671217,0.217022181974834,0.0974613678706151,0.141496153469379,-0.0468387125171588,-0.0342562066878677,0.124609158718003,-0.0260645109449562,0.318885964015218,-0.525519944086233,0.473511523480211,0.333321374397489,-0.00144552480670299
"433.8",-0.204943906048248,0.0121074147366608,-0.162822158350201,-0.0807611298354362,0.152680244135069,-0.0573066733715932,0.14802605579898,-0.0234300411091848,0.0286756889711685,-0.0683323051979436,-0.0614809898947334,-0.175139080949289,-0.615046015678844,0.0930485835147323,-0.245952075287566,0.118746704547504,-0.123560706619766,0.375228970896985,-0.122724564629702
