"","EOF1","EOF2","EOF3","EOF4","EOF5","EOF6","EOF7","EOF8","EOF9","EOF10","EOF11","EOF12","EOF13","EOF14","EOF15","EOF16","EOF17"
"399.4",-0.0950650422040893,-0.518862538076347,0.0685584463307903,0.284535232056356,-0.616769727002841,-0.130935566103417,0.324953917531133,-0.214625430723287,0.0849835282921278,-0.0316150893460662,0.0723947468487377,-0.00170397697605217,0.0462381777619474,-0.083978234445,0.0265329635529389,-0.0622835152237279,-0.0726348904739646
"403.5",-0.110929972131412,-0.422198847639086,0.0487165370261935,0.145365590958165,0.065904310585409,0.520511160806263,-0.566316573671976,-0.259137695029079,-0.180002333995619,0.0996997520244139,0.0299443218844989,-0.0773945183003238,-0.0318120463251885,-0.00170346771656851,-0.0115327337469577,0.0105608664648119,0.128989281329003
"406.9",-0.121079891365691,-0.345251976098416,-0.0741314626227516,-0.0312822333507821,-0.0535928144715451,-0.419498700214559,-0.374669435679291,0.569968930425193,-0.0212818908788224,-0.288624461926082,-0.211880992194921,-0.0765422789019938,-0.0159928566426527,0.0346134841399457,0.167271911178153,0.0959171579583628,0.0416558673202531
"410.1",-0.137787301158762,-0.265677647788666,-0.0434478415042338,-0.00984498763420474,0.244552546748714,0.534898519964838,0.482089121459884,0.413405502771441,0.243534145751293,-0.0968020698059859,-0.0512822358898153,0.0941363485327052,-0.0669269258334179,-0.0705554145318429,0.102977731786261,0.0104507475801277,-0.00942350134000985
"413.4",-0.14595608013779,-0.227254347052377,-0.124030970199545,-0.169071630505671,0.199255091844345,-0.243052938359611,-0.126613483592169,-0.138628277711595,0.614498559494155,0.434381903318341,-0.0221824574787009,0.204063384436442,-0.102986807007283,0.14556068883907,-0.198892840406686,-0.0219329167088314,0.0326749668155528
"417.1",-0.161016014805865,-0.162812975680527,-0.15323060135569,-0.0919322621174568,0.127332407619586,-0.132509472139412,0.119425919198779,0.0218564081158919,-0.484169765017549,-0.0820468076666564,0.306993398488513,0.551259276995902,0.00468998272325134,0.0807735350797903,-0.363421400843917,0.179817999468646,-0.0315863780598481
"421.5",-0.177423845846804,-0.110534820125261,-0.0955015716878498,-0.064438708373907,0.0977850413824577,-0.0751141737701079,0.207483557220126,0.0701691210409813,-0.413914446057731,0.428556714714185,-0.40405261566497,-0.414624975571359,0.00964116647058291,-0.0463889655720239,-0.207890071735314,-0.168650326586,-0.0361249362097048
"425.4",-0.1890847540218,-0.0578683036687769,-0.130440071957926,-0.0840210578103671,0.204717332297276,-0.0181192759127186,0.0415442194784081,-0.219081321091096,0.0934975506908636,-0.471934617723684,0.277901048525556,-0.464888293002565,0.111782647336439,0.278754046451707,-0.110373562371059,-0.0500885405394996,-0.144746428486681
"429.5",-0.200275866828407,0.00403829626704246,-0.142211709417207,-0.0724733518135341,0.132359169708669,0.024952047478619,0.0689282701690634,-0.062863963908368,-0.140187499946202,0.105963339352132,0.0254030831975931,0.0795398412000009,-0.0049712945821245,0.408291218166033,0.525138406159936,0.0309149916491603,0.0840427224160104
"433.8",-0.207453993655798,0.0453577996641277,-0.122135915864363,-0.0239963187592744,0.165661206505263,-0.0601813958377021,-0.15124876307924,-0.0203882547108927,-0.0125194671404185,-0.0367572977080601,0.0829281701611039,0.15650821647614,0.0222310897159436,-0.616388558599187,0.115044227715017,-0.39630863211692,-0.299378848632337
