"","EOF1","EOF2","EOF3","EOF4","EOF5","EOF6","EOF7","EOF8","EOF9","EOF10","EOF11","EOF12","EOF13","EOF14","EOF15","EOF16","EOF17","EOF18"
"399.4",-0.094045332188072,-0.466769931633614,0.21836701186776,0.62988915358508,-0.330934283397574,-0.0994277989142127,0.232662561558469,-0.168807731646339,0.188081903035831,-0.0262453541817382,0.0738282490020031,-0.0189569828661608,0.153041499390621,-0.0757932512873503,0.0665591063779353,-0.0646340634475024,-0.0272191106805148,0.117707058531922
"403.5",-0.105785285617718,-0.415363143965768,0.109590663500937,0.0632996640182174,0.217435729713244,0.505661477108606,-0.620355394095428,-0.106470206833837,0.0582336527179255,0.138063223206094,-0.00266380614630855,-0.0596301264611854,-2.27520776032875e-05,0.0651454194802419,-0.0138668188895828,-0.0121894672101722,0.043514184806588,-0.173112301382596
"406.9",-0.115930253519926,-0.361516637252423,-0.0605013009015359,-0.0393922169948523,-0.15320286773614,-0.460577432334623,-0.188903468934694,0.492851060570668,-0.393528946954014,0.208225986583667,-0.253309058758876,-0.0600409487337089,-0.0326426166063553,0.0135627684927412,-0.136610667409742,-0.0566080866315637,-0.083009582401245,-0.0913352317950291
"410.1",-0.133558978864046,-0.281797782003899,-0.0322884392283217,-0.0873350209614244,0.261351760608163,0.466599185898981,0.577811728495951,0.399443835388627,-0.127812569496297,-0.15905376769915,-0.0343319054765259,0.140237151887437,0.0761637115728947,0.00310325993449252,-0.0215669190595631,0.0045560391753609,-0.0437659648097385,-0.0845473977043456
"413.4",-0.140414603977003,-0.253315106693386,-0.124306296184985,-0.277465971440377,-0.0122910115474387,-0.227437392659478,-0.1241652260605,0.233844661915261,0.622643585181382,-0.294131159609005,0.174410697626368,0.212601708268265,-0.256091565371583,0.0353563999101193,0.0385200298936483,0.114269065739263,0.0713241463447036,0.110479863706064
"417.1",-0.157551927500654,-0.179594216984357,-0.146495780175298,-0.0857912941959696,0.00351720813873069,-0.102966531490231,0.0851712143315,-0.425998191681889,-0.38647231368866,0.118280933236247,0.204651438954367,0.515454507871447,-0.302654524202564,-0.0488442549052646,0.191214024030772,0.2147852005809,0.0230900555722542,-0.0672911242381406
"421.5",-0.17481024435749,-0.13018037010802,-0.0906420513729477,-0.0908448904710295,0.00222554577996309,-0.0213223344223116,-0.0161899221625418,-0.241432113193516,-0.270148938456419,-0.555332889849515,-0.266680338483708,-0.431065784815868,-0.0476431084416568,0.0851335785013165,0.0594122923984692,0.127679658663112,0.29512286207644,0.169075639051815
"425.4",-0.186181850203648,-0.0889615927672728,-0.160004263232742,-0.149162423964701,0.125835215262911,-0.0107331771321714,0.274833784457577,-0.127246585373765,0.16692597078948,0.614572028707304,0.0651683633062242,-0.437203480790851,-0.149676241635229,0.163804026916339,-0.0741753501342946,0.0723186142312267,0.14334747690074,0.204218013909248
"429.5",-0.198570636712145,-0.0185732619078255,-0.141641202124467,-0.0869231423082047,0.0526446862637879,0.0447756559408226,-0.0404224947317279,-0.211720529821416,-0.060182192697443,-0.136895144457835,0.0691326760341495,0.0292185585394632,-0.119508229231284,-0.0323417185066375,-0.434393105350709,-0.390768347055863,-0.540978471414017,0.304468840557707
"433.8",-0.205195166827804,0.0130232883427769,-0.163204944115656,-0.135951573426867,0.10032564022465,-0.0818970479793118,-0.152836275524829,0.0226095790875267,-0.0497074391566526,0.058202412079368,0.0490112854536444,0.185171658169374,0.607825163381812,-0.163450625372691,0.239411258588436,-0.0308018004974268,0.137354202300904,0.237819078443974
"437.3",-0.209640224027313,0.041746132199034,-0.185577491981673,-0.0220049102440875,0.0145076856606944,-0.144436319010037,0.103754423160971,-0.196869819686973,0.146075289635342,0.00306552723798675,-0.0665215979114618,0.039507910843193,0.0581827906811904,0.127637562132705,-0.02919801405177,-0.46083839433429,0.272807810761682,-0.545327339214127
"441.4",-0.211959386288711,0.104452135358485,-0.143900968081827,0.0257284120344271,0.143254064853735,-0.0476522471815755,-0.0267241082117956,-0.0728895479499232,0.128002251116864,0.0897012245766385,-0.177215885251885,0.106543571448219,0.401207712284721,-0.051597111193789,-0.13000889399767,0.125930705550767,-0.0442338473850744,0.142955757809035
"445.8",-0.207247946460622,0.139221345746699,-0.0835667283663508,0.101683333202275,0.0836077391454426,-0.0144633843773035,0.032338703849929,0.0665376860506458,0.122423233845783,-0.014604158937882,-0.230791188428032,-0.102536882864737,-0.188438853602004,0.00964091765084091,0.421047904985051,-0.110952742080206,-0.185918871213061,0.0120041899443482
"450.6",-0.201198333902799,0.130120840644228,-0.0683571510302333,0.158050197450758,0.078850684848039,-0.0967168852780943,0.036592721408295,-0.0734170612745562,0.104425630988965,-0.0614852839705808,-0.066531865062187,-0.0813630668986444,0.0545879211500736,-0.162138324769784,-0.247870161942791,0.423898415808045,-0.198994437608574,-0.264878242327358
"455.2",-0.193322121246638,0.14990711918257,0.000964781272380231,0.0975275051863606,0.0719002384490991,-0.00176086580625441,-0.0418560336423891,0.00602264975357287,-0.0191595559055963,-0.0462518747313626,-0.0367016009219746,-0.102255905238491,-0.111274674202069,-0.16493005835158,0.330477587344491,0.00413695253232834,-0.19274778735511,-0.0345617320356991
"459.4",-0.185300140803108,0.134104686358414,0.0483280393602297,0.134626997190192,0.0144191110722409,-0.0215134114953347,-0.0305923559316446,0.127384651761474,0.0144908284119948,0.0128387002919337,0.155553053308032,-0.0454340636700773,-0.0125336506374587,0.0159327758079369,-0.0257007847791383,0.117477150230559,-0.108078944904595,-0.186637780938871
"463.6",-0.174310297161539,0.127934565836205,0.0689717160869846,0.0275462406730248,-0.0275727562483276,0.0447834766937397,-0.0115984008900118,0.0325685179778723,-0.121927864089845,-0.0130956239726767,0.204945700075772,-0.0959362616365845,-0.0326808100752895,-0.157862504789957,-0.0375986347913148,0.177206263531289,0.0663012567933343,-0.117041611654788
"468.2",-0.164074771464616,0.13454352803956,0.0985830675015502,0.0357906989410088,-0.0534634452677006,0.0407714812080433,-0.053087745489387,0.209250200235439,-0.070515762085838,0.0840839127354535,0.292205196332546,-0.121173893837704,-0.0589370090221834,-0.0429082796526375,0.258735302978113,-0.0136736001152468,-0.0441312347954121,0.0469923270754108
"472.7",-0.151973151981494,0.134406269097073,0.121610291699782,0.0213326629315862,-0.0689545778625349,0.072500924200395,-0.0966239954517265,0.101993349728161,-0.0872407950084073,-0.0721104977534595,0.211194670403146,-0.0445242790946729,-0.018486510729525,0.0141987681001801,-0.175848764256767,0.126502839225907,0.0486329760868975,-0.00790944990301404
"477.6",-0.141613964019928,0.137988266539936,0.124698576536297,0.0434091901279138,-0.0994075429662536,-0.0143120992333636,0.00119496305551025,0.0391206377145725,-0.0171711769996941,-0.0387752034292328,0.143806701674207,0.0413612549888066,0.0400657615878847,0.192959628015599,-0.213539458496241,0.0887523322945647,0.111045859714386,0.163595287687143
"482.5",-0.12927637759059,0.139232713790859,0.141251938606168,0.0205245723804536,-0.061138868967369,0.0211324170961869,-0.0432897116005154,0.0812298061660112,-0.00675074607842385,-0.0465466873300934,0.0286099134455592,0.0166366446401153,-0.0601211637656602,0.285680579612589,0.0683996004640536,-0.117386800644008,0.0731318442884347,0.0652378119834037
"486.9",-0.116695060286493,0.134897923035278,0.142337460399015,0.0232027136980552,-0.0404028505928572,0.0239083290157996,-0.0217332227899166,0.0474296100690179,-0.0168698253375238,-0.0302231132587766,0.000156143153643865,0.133863361303202,-0.0176007751557601,0.245874112197228,-0.115820149666827,-0.0625862060295156,0.076021690587638,-0.0693670192247939
"491.3",-0.100487666496033,0.129245864788387,0.152269958663229,0.0340798331692435,-0.0231261063435757,-0.00342595105381811,0.00617649366078935,0.0160402054502985,-0.0213414639819272,0.0393402124932464,-0.0377275283225501,0.0885156631617355,0.0533737943989979,0.164619013996821,-0.0438169349389081,-0.0724191054558572,0.0268781155705117,-0.0499483475905642
"495.4",-0.0804875508656658,0.124043033879694,0.164144373232371,0.0385493678837891,-0.0163719402886899,0.0453468881646575,-0.00378828379123334,0.0133726471983389,-0.0397898955299001,0.00577574348887043,-0.154692850346052,0.134205188707424,-0.0315962727155698,0.136283086754612,0.0673589899443505,-0.114836976233454,0.0380617533427679,0.127587316307548
"499.8",-0.0573728095756161,0.0879491193864368,0.156572846832289,0.00255909273197956,-0.0241965173769431,-3.33232894075677e-05,-0.0043945511073469,-0.0536327299294414,0.00522180852290215,0.00256202518568836,-0.112635407168984,0.084802960158849,-0.0601044794198552,-0.0798696005192372,-0.0676329933202424,-0.140422971433575,0.0480407661438276,-0.0426203032200161
"504.3",-0.0340620503788956,0.0723922143771903,0.176546303888178,-0.024516179013899,-0.00829998061726309,0.0241385259150698,-0.00135731853593308,0.0319786659377159,-0.0274012528171976,0.016855014425982,-0.134657956141222,0.0464863787623577,-0.109151128778198,-0.143118851268495,0.0657768521601222,-0.124057797414024,0.0233182868607321,0.0651961371787421
"509.2",-0.0135687016017317,0.0373390926525321,0.162659671922032,-0.044467014379418,-0.0382787175130675,-0.0132717171818931,0.00718975994894204,-0.043506889087729,0.033167238942533,0.03605530770196,-0.102324181201897,0.0741596033470833,-0.0340859057587216,-0.134102041097273,-0.140680801710249,-0.0185761729200627,0.205329925319311,0.0206322561258085
"513.9",0.00573315610387036,0.0133759425781425,0.171823891037918,-0.0826015624341221,-0.0525612545523721,0.00368629282878098,0.0730502493319708,0.00739720411309786,0.0215526367626952,-0.000567645645762471,-0.0702619440079582,0.0445353686672302,-0.0352819188378033,-0.26287047409373,-0.17660025015798,0.0342996521705063,0.196535874661952,0.0407370739966025
"518.7",0.0199481531145987,0.00524004689821691,0.17725146346365,-0.114976872857151,-0.0301097386778268,0.0345605366348888,0.0214695002268019,0.000536068152175506,-0.0121158352279912,0.0646659106183489,-0.0556963300248977,-0.0026652636264357,-0.104210100808322,-0.170660873639077,0.0480651284886214,-0.0856178290187304,0.116222395598343,0.183346950681394
"523.0",0.0350362155468177,-0.0152188316700224,0.17326766456629,-0.145075731435909,-0.0637865741423549,0.0260711432221317,0.007270006089347,-0.0238236931829793,-0.00960206040175695,0.0521851204673488,-0.00241482859161694,0.0334463969846775,-0.0257168139633961,-0.149399117945995,-0.0673367570870257,-0.00477714448971069,0.135173419421138,0.0305346228419121
"527.7",0.0450427565755143,-0.0137798241260993,0.168108901330092,-0.153842731724916,-0.0664732762174378,0.0174085276462086,-0.0227101150891798,-0.0471295414450746,0.0403010003526851,0.0880123702381783,0.00117926713164571,-0.0173482061464374,0.0031546312707783,-0.155638287172312,0.0462454709944448,0.00452122099668203,-0.0815687283350623,0.0705683242771155
"531.8",0.0551420903391261,-0.0285720946736997,0.16485474931888,-0.156616835272198,-0.0783471772671091,0.0155028277456348,0.0450267014760079,-0.0617449677888287,0.0271975730790011,0.0403535146829801,-0.0328318514640996,-0.000734954972614268,0.00171580493355699,0.0136768196270096,0.0421961804206734,0.000881979908671253,-0.0107881835506846,0.0736112779233994
"536.0",0.0631474903892172,-0.0345819920813591,0.156875461812547,-0.161883607634232,-0.0645244497420683,-0.0138235125338294,0.0334259102180511,-0.0242512630914361,0.0661389851809089,0.0499417132882823,-0.038610379561565,0.0042224977817935,0.0746381863226352,0.0433354649192084,0.0370227922477564,0.113815119441664,-0.102064384674951,-0.115697531205726
"540.4",0.071323067295328,-0.0390940094385763,0.149437660914388,-0.156092757259949,-0.0766296684398533,-0.00705504611914774,0.0674163590610625,-0.0869386144908596,0.035395613713517,-0.00782685941877532,-0.0542754393922963,-0.0202708572283265,0.119665598156765,0.141335741391931,0.0942182457888276,0.126130713214226,-0.166007808810885,0.000127055267584119
"544.7",0.0770256704079224,-0.0346146979633531,0.126233631761367,-0.16160517350338,-0.0330723620219106,-0.0086634641447414,0.0174409189797779,-0.0528003996690149,-0.00670707130615314,0.0471487654444182,-0.0349934924322564,-0.000112206248686427,0.106637051610055,0.140943754798002,0.140569199013937,-0.00070790756001245,-0.258199319536329,-0.0693941265941792
"548.8",0.0829992035484257,-0.0331391709871306,0.116857079369339,-0.122150683494591,-0.0256543529350884,-0.0507271128931889,0.042628549130477,-0.0859077931226489,0.00717199483591192,-0.0591885592732526,-0.0672868220734678,-0.0241247431927638,0.07588051171045,0.184002350610127,0.032333284467247,0.0508442512841339,-0.112711263058929,-0.173549441830771
"553.1",0.0884315946735448,-0.0270468705443908,0.103123540627367,-0.0989168885973049,0.00975978086602054,-0.0431214073436276,0.0527598062343275,-0.0718648526660015,0.0186048828824818,0.0109154191591391,-0.0483954775507065,-0.00380321929665143,0.0871172772432128,0.133183779192215,-0.0144771912566081,0.0536176051743557,-0.109274101009065,-0.0281961250473152
"557.5",0.0928630259849138,-0.0263480906675508,0.0893476569917806,-0.0741305582773534,0.0522323789979101,-0.0590765796492915,0.027117759152713,-0.0732499645782107,0.025933881470986,-0.00778223297165071,-0.0541996315357043,-0.0104895725248805,0.0657267662218117,0.0810511375919631,0.0519376432078791,0.00279127601859307,-0.0893314134581246,-0.00478858649591643
"562.0",0.0977320886786598,-0.027404300273422,0.0652348510796534,-0.0657953307967593,0.0706166719714618,-0.0933511474852367,0.0321183054232504,-0.0616975704867235,0.0316397885523275,-0.0219547442423536,-0.0593162627748075,-0.0313409259470368,0.0487267996209576,0.0428441060453729,-0.0112536707725753,0.0870393751156529,-0.0542846277011602,-0.108524609693046
"566.2",0.098823845854881,-0.0155236888458015,0.0566908065344772,-0.043740530990507,0.104982715911618,-0.058611272482131,0.016526919582222,-0.0455544774243404,0.0104106599247412,0.0163657200124299,-0.0205908030184945,0.00809097213527736,0.00553531999752027,-0.00602809149436904,0.0275695642585516,-0.00590246521290674,-0.0955502222388343,-0.0459745284851573
"570.2",0.100814504251362,-0.012445322786263,0.0563964808776963,-0.0227213893209465,0.121730438996253,-0.0548974021603528,-0.0123245495499846,-0.0209009768757529,0.0305200812658867,-0.0482500406533807,-0.0608543582972029,-0.0242704307319188,0.00840655305009914,-0.0740073435962417,0.00660784949045926,0.0750220600412881,-0.0447273257358592,-0.0388204085449974
"573.9",0.101330959133776,-0.0116019195215169,0.0451208650452627,-0.00379568889872087,0.118840309363864,-0.0729689781573514,-0.00327103628909327,-0.0353014305093826,0.0362027216123479,-0.0422816472787511,-0.0601486394048693,-0.0502402845622004,0.000528190724865122,-0.073309717877917,-0.0459383853490453,0.0623353957093856,-0.0114281964189566,-0.0524032159216614
"577.8",0.103706223426783,-0.0166268582245534,0.0341582720463716,-0.00298228067186579,0.0983501102170685,-0.0670136888766797,-0.0107187169966357,-0.00689204326986723,0.032266602732244,-0.0336473671653916,-0.0118791669785637,-0.073966850646958,-0.0477488724143786,-0.0908968037650076,0.0351377002884792,0.0202626870302901,-0.0336965179825961,-0.08036513067924
"581.5",0.102338836116402,-0.0116258380086309,0.0230662855320873,0.0128492072998384,0.113508291408956,-0.0637758555052767,-0.0396876304512037,-0.00530598019367162,0.00234992724231437,-0.00156623529787591,-0.00132950779218507,-0.0824994083732758,-0.0635893223029164,-0.128084555303483,-0.0372103085293788,0.0373206115692372,-0.0364800156261944,-0.0308561395650952
"583.7",0.100670098118667,0.000484066629366377,0.00276642316680589,0.0295541788635226,0.0988080584562162,-0.0668712466061882,-0.00120493902846752,0.0249163327514418,-0.0144402580871415,-0.0298266708938226,0.098283239633305,-0.00885641299994801,0.0156056215854473,-0.0986259324205125,-0.0748411128108914,-0.127959557279163,0.00707308901265126,-0.0266876076108357
"587.8",0.101541347693556,-0.00255029271651304,0.00389260046451838,0.0389244045685455,0.0947892980633793,-0.0564755776983338,0.00457294248224718,0.00950780035563685,-0.0228784122914313,-0.0190047814160843,0.114791792872251,-0.0679019397505337,-0.0229307554760764,-0.126055003854414,-0.025119341714037,-0.0738552808828896,0.0141199013935582,-0.0363876202484086
"592.0",0.10245018250303,-0.0016335316774288,-0.0121621718892067,0.0284009315774872,0.108945018021468,-0.0400915606935521,0.00883049312549121,0.0229769784982976,-0.0480284508844874,-0.00507396858546907,0.129654900224599,-0.0513677929211721,-0.00162902244191682,-0.0832302085272487,-0.0358511510237371,-0.104900104082063,0.0231524119949725,-0.0184249509665058
"596.7",0.106226729746566,-0.00588766393252721,-0.01848137016835,0.0100752891763022,0.0989312673675777,-0.0292305779927738,0.0312215249744924,0.0269488227956157,-0.00666763312528328,-0.034493741089377,0.140575370611768,-0.035580904826953,-0.0196995705551982,-0.0163176193366677,-0.0197723264633846,-0.0439896328650984,0.0826911483688704,-0.0127868758281655
"600.9",0.10499685274694,0.0106771190898202,-0.0231465751329646,0.042639394691309,0.100292633138533,-0.0472527035387622,0.0203386168426765,0.00938538386366769,-0.0545855244844231,-0.0212715132004745,0.100523304263896,-0.0419843865903903,-0.0280018343895187,-0.0635619110694448,0.0194354351174354,-0.0974144589980127,0.0692262374691565,0.0168747440021484
"605.1",0.104767259937517,0.0100130600944826,-0.0272965272261828,0.0438326780374967,0.116962087253222,-0.0342750987709277,0.00611883750792001,0.03480034774864,-0.0090858269643082,-0.0167030183538382,0.0985029931562277,-0.0479464480888401,0.0273262952476563,-0.0764924800195138,0.0462971223857993,-0.0987310547283845,0.0105483029331633,0.0266718221316595
"609.7",0.105954249849464,0.00554297498729689,-0.0419049712191662,0.0467661200665974,0.0875366503546173,-0.0370830897925153,0.0279716975176531,0.000648558623284752,0.00380844442240571,-0.00325438191183878,0.107099226585692,-0.0436256497565616,-0.00756335838083608,-0.0606969085054674,-0.0520149236365055,-0.0954878384319309,0.054537484955595,-0.0417738753753826
"614.3",0.104935104016295,0.0107253797585545,-0.0429330372561387,0.0448816401111762,0.0823930875572406,-0.0383114953878705,-0.0311750603474241,0.0197904384186644,0.0198675251898279,-0.0393027557563013,0.0805405845259245,-0.0421465952849116,-0.0185855685605039,-0.0642542534290786,0.0440436082152613,-0.0848367867950231,0.0115371567800068,-0.00158996519829696
"618.5",0.103871265237806,0.0118043482923377,-0.0461107802423878,0.056077087051925,0.0805094486714829,-0.0222652609392455,-0.0275329238421788,-0.00135471927706053,-0.0432940426988324,-0.040397959790251,0.0597178037836254,-0.033876498388812,0.0371924014554619,-0.0525940947586723,0.032497430917386,-0.101630534053788,-0.0164162952932066,0.0434132108815583
"622.9",0.103288287914712,0.0107335499795342,-0.0508031924163468,0.0445337663902881,0.0933008769130427,-0.0166191309743385,0.0281615397905686,0.0328876518592927,0.000197159149114298,-0.00169913220766976,0.0525566093184981,0.0105953068924647,0.0338377725516198,0.00852916544808863,-0.0408282353947222,-0.0436394115447894,0.0574076177426504,-0.0137113305880552
"627.2",0.103257223120835,0.00951856641645051,-0.0612786617787466,0.0381782701189937,0.0721803732775744,-0.0181181772991343,0.0193179423923961,0.018110002271273,-0.0138570064852939,-0.0270066711564748,0.0468354116410695,0.0193121710697964,0.0958309806025602,0.0267197808207163,0.0159500811934205,-0.0236796094134392,0.0719070694026321,0.0107451445660403
"631.0",0.103056152638611,0.00915731069578718,-0.0670331145695457,0.0308481313730986,0.0509947652225961,-0.0229286779573153,-0.0214569290877808,0.00144454957282237,-0.0301859457192579,-0.0157793935883818,0.0668936112998515,-0.0151913428990515,0.0376469262091351,0.00361102125191048,0.00488737036321915,0.00257528322327054,0.0210257644943767,0.0188329426728355
"635.0",0.103401460352551,0.00632581701835723,-0.0705529081958525,0.0322921887750231,0.0179653946871745,-0.0183198618846773,-0.00156876791738271,0.00415294942976981,-0.0203169053996858,-0.0335309757795277,0.104127957007106,-0.00921588173972467,0.0159572851090194,0.0216640137814116,0.014797019073931,0.0351676599766636,0.0679610580957286,-0.0142031240955914
"639.2",0.103686009286456,0.00749409574090793,-0.0646478415403,0.0541582203129442,-0.010128063622276,-0.0249970923884645,-0.000927822544614708,0.0131092189618359,-0.0437559758565036,-0.039332281856499,0.0858489740288293,0.0010168025536735,0.027637734033958,0.109477139038438,0.0375479709068127,0.0073357118202824,0.0341807601818316,0.0666089690256137
"643.3",0.10383524559289,0.00082144780932795,-0.0783016603491161,0.0257441734026766,-0.0187586320415525,-0.023573207517458,-0.0338500798144766,0.00916188841153943,-0.0717184455558514,-0.038795699415545,0.0814635872326439,-0.032581755342609,0.0620125535887648,0.147958005058886,-0.0212563422366547,0.0013249312565912,-0.000359211934223084,0.0809888871357262
"647.6",0.101555592324414,-0.000463956236090259,-0.0923256438759703,0.035281640126619,-0.0593925434777973,-0.00401506059198367,-0.0310971545051343,-0.0052536004210752,-0.0555926002266106,-0.0353669923508776,0.132132093593803,-0.0380731603045691,-0.00963201776807848,0.148372129852363,0.0333198556451723,0.0450174136202814,-0.0592106388284109,0.00321838131261037
"651.7",0.0964542882567197,-0.00139225527675186,-0.105971403696737,0.0288076295025374,-0.0820723295201493,0.0257712506340888,-0.0240823203838852,0.00172209027677068,-0.0320543298896455,-0.0415290210111157,0.118164584407772,-0.0347759739903882,0.0458509208944731,0.133654851114043,0.0333294886416088,0.000367603191341773,-0.048138705319386,0.0276390681564946
