"","N","RMSElog","R2log","RMSE","R2","MED.PERC.ERR","MEA.PERC.ERR","MEA.PERC.BIAS","MED.PERC.BIAS","SLOPE","INT","CV.MED.PER.ERR","CV.MEAN.PER.ERR","CV.MED.SQ.ERR","CV.MEAN.SQ.ERR","CV.RMSElog.MEAN","R2logCV.MEAN","CV.RMSE.MEAN","R2CV.MEAN"
"CHL",202,0.359,0.861500784596399,0.38,0.670427597196015,24.437,28.618,6.308,5.262,0.862,-0.208,26.6277925282395,32.5592786207701,0.00256319427303757,0.161192571326699,0.391074982724542,0.834535725455928,0.358608304387124,0.732198920986687
"DIATO",196,0.753,0.811786590588568,0.296,0.708051381446953,43.825,79.902,42.303,-2.218,0.812,-0.798,45.9964838509251,90.0465643753344,2.25548819618028e-05,0.103644992132448,0.806870257617577,0.779121129135894,0.270006035627186,0.799266851003764
"DINO",190,0.543,0.746589121381803,0.015,0.781428678378178,34.664,46.108,15.29,7.626,0.747,-1.194,38.4978152882657,52.4763586898904,9.08626907714193e-06,0.000262647933505097,0.590986636147308,0.702612126367321,0.0149784508833538,0.732719041344825
"HAPTO",202,0.547,0.753498245045666,0.118,0.248650234294455,31.065,43.966,15.169,2.447,0.753,-0.78,34.6426065976117,53.1196373182297,0.000144215966094449,0.0143207754023794,0.605862499484197,0.708308428335316,0.099774720942725,0.384098114547225
"GREEN",173,0.481,0.826334398591275,0.064,0.560167150158728,30.563,38.223,11.03,3.549,0.826,-0.549,34.0564477726031,44.8652157047056,0.000160072682789145,0.0055920324278833,0.534861073549154,0.79300420277956,0.0702122790789436,0.565403942375999
"PROKAR",201,0.537,0.619470723134826,0.038,0.482612826586391,34.076,49.765,18.239,-2.114,0.619,-1.098,35.7047972674458,57.5361045884409,0.000370170479712016,0.00179647850865544,0.59999868062946,0.531675051846515,0.041831570465459,0.42644139008559
